objectid,CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,STREETNAME,CROSS_STRE,CROSS_ST_1,FROM_ST,TO_ST,shape,data_as_of,data_loaded_at
50,13073000,VALENCIA,ST,Inner Mission,13073000,VALENCIA ST,24TH ST,25TH ST,24TH ST,25TH ST,"LINESTRING (-122.4206648 37.752103646, -122.420507006 37.750505826)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
16,581000,14TH,ST,Inner Mission,581000,14TH ST,SHOTWELL ST,SOUTH VAN NESS AVE,SHOTWELL ST,SOUTH VAN NESS AVE,"LINESTRING (-122.416707369 37.768471369, -122.417802154 37.768405269)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
19,13069000,VALENCIA,ST,Inner Mission,13069000,VALENCIA ST,21ST ST,HILL ST,21ST ST,HILL ST,"LINESTRING (-122.42111754 37.756902009, -122.421041141 37.756101806)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
47,587000,14TH,ST,Inner Mission,587000,14TH ST,JULIAN AVE,STEVENSON ST,JULIAN AVE,STEVENSON ST,"LINESTRING (-122.421209883 37.768199452, -122.421364522 37.768190111)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
15,5695000,FOLSOM,ST,Inner Mission,5695000,FOLSOM ST,20TH ST,21ST ST,20TH ST,21ST ST,"LINESTRING (-122.414690031 37.758895989, -122.414541468 37.757297644)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
37,9696000,NORTH POINT,ST,Russian Hill,9696000,NORTH POINT ST,LARKIN ST,POLK ST,LARKIN ST,POLK ST,"LINESTRING (-122.422006821 37.805496648, -122.423655075 37.805286985)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
44,5886001,FULTON,ST,Western Addition,5886001,FULTON ST,WEBSTER ST,FRIENDSHIP CT,WEBSTER ST,FRIENDSHIP CT,"LINESTRING (-122.4298492 37.777919296, -122.430712995 37.777809477)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
34,512000,11TH,ST,South of Market,512000,11TH ST,HOWARD ST,KISSLING ST,HOWARD ST,KISSLING ST,"LINESTRING (-122.41556139 37.773100588, -122.415001655 37.772649474)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
23,592000,14TH,ST,Mission Dolores,592000,14TH ST,ROSEMONT PL,DOLORES ST,ROSEMONT PL,DOLORES ST,"LINESTRING (-122.425536112 37.767938711, -122.426693184 37.767869019)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
1,591000,14TH,ST,Mission Dolores,591000,14TH ST,RAMONA AVE,ROSEMONT PL,RAMONA AVE,ROSEMONT PL,"LINESTRING (-122.425353535 37.767949706, -122.425536112 37.767938711)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
9,13064000,VALENCIA,ST,Inner Mission,13064000,VALENCIA ST,18TH ST,19TH ST,18TH ST,19TH ST,"LINESTRING (-122.4215784 37.761700908, -122.421425212 37.760101294)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
27,13061000,VALENCIA,ST,Inner Mission,13061000,VALENCIA ST,17TH ST,CLARION ALY,17TH ST,CLARION ALY,"LINESTRING (-122.421731522 37.763299768, -122.421694847 37.762916815)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
52,5692000,FOLSOM,ST,Inner Mission,5692000,FOLSOM ST,17TH ST,18TH ST,17TH ST,18TH ST,"LINESTRING (-122.415155086 37.763696766, -122.414998618 37.762099161)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
13,5698000,FOLSOM,ST,Inner Mission,5698000,FOLSOM ST,23RD ST,24TH ST,23RD ST,24TH ST,"LINESTRING (-122.41423351 37.754098883, -122.414086031 37.752506066)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
48,13067000,VALENCIA,ST,Inner Mission,13067000,VALENCIA ST,20TH ST,LIBERTY ST,20TH ST,LIBERTY ST,"LINESTRING (-122.421271729 37.758498508, -122.421193865 37.757701417)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
38,2418000,ARGUELLO,BLVD,Presidio Heights,2418000,ARGUELLO BLVD,SACRAMENTO ST,CALIFORNIA ST,SACRAMENTO ST,CALIFORNIA ST,"LINESTRING (-122.459255766 37.7866233, -122.459178766 37.785681691)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
11,9691000,NORTH POINT,ST,North Waterfront,9691000,NORTH POINT ST,TAYLOR ST,JONES ST,TAYLOR ST,JONES ST,"LINESTRING (-122.415431571 37.806343429, -122.417077278 37.806141247)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
40,9694000,NORTH POINT,ST,Russian Hill,9694000,NORTH POINT ST,LEAVENWORTH ST,HYDE ST,LEAVENWORTH ST,HYDE ST,"LINESTRING (-122.418718266 37.80593152, -122.420369047 37.805720256)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
51,515000,11TH,ST,South of Market,515000,11TH ST,FOLSOM ST,HARRISON ST,FOLSOM ST,HARRISON ST,"LINESTRING (-122.414026707 37.771863707, -122.412479936 37.770629854)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
21,588000,14TH,ST,Inner Mission,588000,14TH ST,STEVENSON ST,VALENCIA ST,STEVENSON ST,VALENCIA ST,"LINESTRING (-122.421364522 37.768190111, -122.422199174 37.768139683)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
43,13066000,VALENCIA,ST,Inner Mission,13066000,VALENCIA ST,CUNNINGHAM PL,20TH ST,CUNNINGHAM PL,20TH ST,"LINESTRING (-122.421355418 37.759372454, -122.421271729 37.758498508)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
12,13060000,VALENCIA,ST,Inner Mission,13060000,VALENCIA ST,16TH ST,17TH ST,16TH ST,17TH ST,"LINESTRING (-122.421886446 37.764917378, -122.421731522 37.763299768)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
6,13071000,VALENCIA,ST,Inner Mission,13071000,VALENCIA ST,22ND ST,23RD ST,22ND ST,23RD ST,"LINESTRING (-122.420964092 37.755294782, -122.420812136 37.753703094)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
46,582000,14TH,ST,Inner Mission,582000,14TH ST,SOUTH VAN NESS AVE,NATOMA ST,SOUTH VAN NESS AVE,NATOMA ST,"LINESTRING (-122.417802154 37.768405269, -122.418555933 37.768359751)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
3,13063000,VALENCIA,ST,Inner Mission,13063000,VALENCIA ST,SYCAMORE ST,18TH ST,SYCAMORE ST,18TH ST,"LINESTRING (-122.421662477 37.762578832, -122.4215784 37.761700908)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
28,5694000,FOLSOM,ST,Inner Mission,5694000,FOLSOM ST,19TH ST,20TH ST,19TH ST,20TH ST,"LINESTRING (-122.414841892 37.760498872, -122.414690031 37.758895989)",11/03/2017 04:59:30 PM,01/18/2024 03:36:07 PM
